Easting_X,Northing_Y,Subsidence_S
142.26497308103743,42.264973081037425,0.0
147.26497308103743,42.264973081037425,0.0
152.26497308103743,42.264973081037425,0.0
157.26497308103743,42.264973081037425,0.0
162.26497308103743,42.264973081037425,0.0
167.26497308103743,42.264973081037425,0.0
172.26497308103743,42.264973081037425,0.0
177.26497308103743,42.264973081037425,0.0
182.26497308103743,42.264973081037425,0.0
187.26497308103743,42.264973081037425,0.0
192.26497308103743,42.264973081037425,0.0
197.26497308103743,42.264973081037425,0.0
202.26497308103743,42.264973081037425,0.0
207.26497308103743,42.264973081037425,0.0
212.26497308103743,42.264973081037425,0.0
217.26497308103743,42.264973081037425,0.0
222.26497308103743,42.264973081037425,0.0
227.26497308103743,42.264973081037425,0.0
232.26497308103743,42.264973081037425,0.0
237.26497308103743,42.264973081037425,0.0
242.26497308103743,42.264973081037425,0.0
247.26497308103743,42.264973081037425,0.0
252.26497308103743,42.264973081037425,0.0
257.2649730810374,42.264973081037425,0.0
262.2649730810374,42.264973081037425,0.0
267.2649730810374,42.264973081037425,0.0
272.2649730810374,42.264973081037425,0.0
277.2649730810374,42.264973081037425,0.0
282.2649730810374,42.264973081037425,0.0
287.2649730810374,42.264973081037425,0.0
292.2649730810374,42.264973081037425,0.0
297.2649730810374,42.264973081037425,0.0
302.2649730810374,42.264973081037425,0.0
307.2649730810374,42.264973081037425,0.0
312.2649730810374,42.264973081037425,0.0
317.2649730810374,42.264973081037425,0.0
322.2649730810374,42.264973081037425,0.0
327.2649730810374,42.264973081037425,0.0
332.2649730810374,42.264973081037425,0.0
337.2649730810374,42.264973081037425,0.0
342.2649730810374,42.264973081037425,0.0
347.2649730810374,42.264973081037425,0.0
352.2649730810374,42.264973081037425,0.0
357.2649730810374,42.264973081037425,0.0
362.2649730810374,42.264973081037425,0.0
367.2649730810374,42.264973081037425,0.0
372.2649730810374,42.264973081037425,0.0
377.2649730810374,42.264973081037425,0.0
382.2649730810374,42.264973081037425,0.0
387.2649730810374,42.264973081037425,0.0
392.2649730810374,42.264973081037425,0.0
397.2649730810374,42.264973081037425,0.0
402.2649730810374,42.264973081037425,0.0
407.2649730810374,42.264973081037425,0.0
412.2649730810374,42.264973081037425,0.0
417.2649730810374,42.264973081037425,0.0
422.2649730810374,42.264973081037425,0.0
427.2649730810374,42.264973081037425,0.0
432.2649730810374,42.264973081037425,0.0
437.2649730810374,42.264973081037425,0.0
442.2649730810374,42.264973081037425,0.0
447.2649730810374,42.264973081037425,0.0
452.2649730810374,42.264973081037425,0.0
